crop, season , date , CentroSul , MédioNorte , Nordeste , Noroeste , Norte , Oeste , Sudeste , Mato Grosso 
cotton,17/18,2018-01-05,0,0.02,0.4,0,,0.01,0.23,0.09
cotton,17/18,2018-01-12,0,0.03,0.49,0,,0.02,0.31,0.12
cotton,17/18,2018-01-19,0.13,0.2,0.53,0.04,,0.23,0.38,0.26
cotton,17/18,2018-01-26,0.48,0.43,0.68,0.36,,0.5,0.61,0.52
cotton,17/18,2018-02-02,0.69,0.73,0.89,0.68,,0.65,0.78,0.71
cotton,17/18,2018-02-09,0.94,0.9,1,0.87,,0.95,0.91,0.93
cotton,17/18,2018-02-16,0.98,0.98,1,0.99,,0.98,0.99,0.98
cotton,17/18,2018-02-23,1,1,1,1,,1,1,1
cotton,17/18,2018-03-02,1,1,1,1,,1,1,1
cotton, 18/19,2018-12-14,0,0,0.08,0,,0,0.03,0.01
cotton, 18/19,2018-12-21,0,0.01,0.09,0.01,,0,0.04,0.01
cotton, 18/19,2018-12-28,0.02,0.06,0.49,0.06,,0.02,0.08,0.05
cotton, 18/19,2019-01-04,0.05,0.1,0.73,0.07,,0.05,0.2,0.1
cotton, 18/19,2019-01-11,0.2,0.35,0.86,0.22,,0.21,0.34,0.27
cotton, 18/19,2019-01-18,0.6,0.61,0.99,0.48,,0.47,0.52,0.53
cotton, 18/19,2019-01-25,0.69,0.73,1,0.68,,0.72,0.73,0.72
cotton, 18/19,2019-02-01,0.92,0.9,1,0.87,,0.91,0.9,0.91
cotton, 18/19,2019-02-08,1,0.98,1,1,,0.99,0.98,0.99
cotton, 18/19,2019-02-15,1,1,1,1,,1,1,1
cotton, 18/19,2019-02-22,1,1,1,1,,1,1,1
cotton, 19/20,2019-12-06,0,0,0,0,,0,0.01,0
cotton, 19/20,2019-12-13,0,0,0.09,0,,0,0.02,0.01
cotton, 19/20,2019-12-20,0,0,0.21,0,,0,0.08,0.03
cotton, 19/20,2020-01-03,0.05,0.06,0.3,0.05,,0.04,0.17,0.09
cotton, 19/20,2020-01-10,0.06,0.08,0.68,0.24,,0.06,0.25,0.13
cotton, 19/20,2020-01-17,0.25,0.24,0.85,0.55,,0.15,0.47,0.28
cotton, 19/20,2020-01-24,0.69,0.71,1,0.81,,0.43,0.63,0.57
cotton, 19/20,2020-01-31,0.86,0.91,1,1,,0.78,0.85,0.83
cotton, 19/20,2020-02-07,0.99,0.99,1,1,,0.97,0.99,0.98
cotton, 19/20,2020-02-15,1,1,1,1,,1,1,1
cotton, 19/20,2020-02-21,1,1,1,1,,1,1,1
soy,20/21,2020-09-18,0,0,0,0,0,0,0,0
soy,20/21,2020-09-25,0,0.01,0,0.01,0,0.03,0,0.01
soy,20/21,2020-10-02,0.01,0.01,0.01,0.01,0.02,0.06,0.01,0.02
soy,20/21,2020-10-09,0.02,0.02,0.01,0.02,0.04,0.14,0.01,0.03
soy,20/21,2020-10-16,0.06,0.07,0.07,0.06,0.11,0.25,0.04,0.08
soy,20/21,2020-10-23,0.22,0.25,0.24,0.27,0.29,0.4,0.17,0.25
soy,20/21,2020-10-30,0.5,0.54,0.5,0.52,0.51,0.75,0.49,0.54
soy,20/21,2020-11-06,0.72,0.87,0.82,0.83,0.80,0.91,0.80,0.83
